group,condition,pronoun,name,pet,job,introduction,memory_pronoun,memory_pet,memory_job,production
story_2,story,they/them,Daniel,fish,retail,Daniel uses they/them pronouns.<br> Daniel works in retail and has a fish.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in retail…
story_2,story,they/them,James,cat,janitor,James uses they/them pronouns.<br> James works as a janitor and has a cat.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a janitor…
story_3,story,she/her,Jessica,fish,teacher,Jessica uses she/her pronouns.<br> Jessica works as a teacher and has a fish.,What pronouns does Jessica use?,What kind of pet does Jessica have?,What is Jessica's job?,After Jessica got home from working as a teacher…
story_3,story,she/her,Laura,cat,accountant,Laura uses she/her pronouns.<br> Laura works as an accountant and has a cat.,What pronouns does Laura use?,What kind of pet does Laura have?,What is Laura's job?,After Laura got home from working as an accountant…
story_3,story,she/her,Melissa,dog,retail,Melissa uses she/her pronouns.<br> Melissa works in retail and has a dog.,What pronouns does Melissa use?,What kind of pet does Melissa have?,What is Melissa's job?,After Melissa got home from working in retail…
story_3,story,she/her,Stephanie,fish,janitor,Stephanie uses she/her pronouns.<br> Stephanie works as a janitor and has a fish.,What pronouns does Stephanie use?,What kind of pet does Stephanie have?,What is Stephanie's job?,After Stephanie got home from working as a janitor…
story_3,story,he/him,Daniel,cat,IT,Daniel uses he/him pronouns.<br> Daniel works in IT and has a cat.,What pronouns does Daniel use?,What kind of pet does Daniel have?,What is Daniel's job?,After Daniel got home from working in  IT…
story_3,story,he/him,James,dog,nurse,James uses he/him pronouns.<br> James works as a nurse and has a dog.,What pronouns does James use?,What kind of pet does James have?,What is James' job?,After James got home from working as a nurse…
story_3,story,he/him,Kevin,fish,doctor,Kevin uses he/him pronouns.<br> Kevin works as a a doctor and has a fish.,What pronouns does Kevin use?,What kind of pet does Kevin have?,What is Kevin's job?,After Kevin got home from working as a doctor…
story_3,story,he/him,Michael,cat,salesperson,Michael uses he/him pronouns.<br> Michael works in sales and has a cat.,What pronouns does Michael use?,What kind of pet does Michael have?,What is Michael's job?,After Michael got home from working as a salesperson…
story_3,story,they/them,Amanda,dog,engineer,Amanda uses they/them pronouns.<br> Amanda works as an engineer and has a dog.,What pronouns does Amanda use?,What kind of pet does Amanda have?,What is Amanda's job?,After Amanda got home from working as an engineer…
story_3,story,they/them,Emily,fish,Uber driver,Emily uses they/them pronouns.<br> Emily works as an Uber driver and has a fish.,What pronouns does Emily use?,What kind of pet does Emily have?,What is Emily's job?,After Emily got home from working as an Uber driver…
story_3,story,they/them,Andrew,cat,food service,Andrew uses they/them pronouns.<br> Andrew works in food service and has a cat.,What pronouns does Andrew use?,What kind of pet does Andrew have?,What is Andrew's job?,After Andrew got home from working in food service…
story_3,story,they/them,Brian,dog,mechanic,Brian uses they/them pronouns.<br> Brian works as a mechanic and has a dog.,What pronouns does Brian use?,What kind of pet does Brian have?,What is Brian's job?,After Brian got home from working as a mechanic…
